VE;;;;;;;;;;;
PARAMETERS;;;;;;;;;;;
window_size; threshold_L; threshold_H; p_t_ini; e_ini; size_ratio; subs_NOx; min_packages; max_packages;;;
60;80000;100000;100000;4000;4;9000;1;20;;;
ALL SIMULATION RESULTS;;;;;;;;;;;
total_steps(sec); minutes; avg_time_per_package (sec); p_t_total_all_steps; e_t_total_all_steps; p_t_control_zone_all_steps;  e_t_control_zone_all_steps; avg_k_all_steps; veh_enter_cz_all_steps; avg_total_time_all_steps;;
5054;84.0;13.942.762.863.534.600;29.698.645.994.600.200;9.124.763.846.787.710;9.829.967.191.587.130;5.828.067.264.522.440;29.808.359.519.763.900;23;13.995.119.047.619.000;;
WINDOWS;;;;;;;;;;;
step; NOx_total_w; NOx_total_acum; lambda; p_t_total; e_t_total; p_t_control_zone; e_t_control_zone; k_control_zone; num_veh_total; num_vehicles_control_zone;  
VEHICLES;;;;;;;;;;;
id; vType; NOx_total_veh; n_packages; step_ini; step_fin; total_time(sec);average_package;enter_cz;;;
veh26;truck;8.115.579.420.206.120;5;109;1251;1142;228.4;TRUE;;;
veh27;truck;813.814.726.891.365;19;112;1326;1214;6.389.473.684.210.520;TRUE;;;
veh34;truck;8.515.545.881.681.510;3;153;1335;1182;394.0;TRUE;;;
veh37;truck;7.948.124.327.383.820;9;157;1287;1130;12.555.555.555.555.500;TRUE;;;
veh41;truck;8.533.542.316.194.390;4;172;1346;1174;293.5;TRUE;;;
veh43;truck;8.474.434.856.034.880;16;182;1472;1290;80.625;TRUE;;;
veh47;truck;8.051.767.369.309.610;15;193;1345;1152;76.8;TRUE;;;
veh60;truck;8.638.110.689.595.090;16;237;1494;1257;785.625;TRUE;;;
veh73;truck;1.136.753.193.888.280;13;282;1793;1511;11.623.076.923.076.900;FALSE;;;
veh91;truck;1.166.245.124.122.960;7;334;1911;1577;22.528.571.428.571.400;FALSE;;;
veh92;truck;14.337.414.003.698.300;4;338;1913;1575;393.75;FALSE;;;
veh95;truck;11.270.999.614.270.700;16;344;1787;1443;901.875;FALSE;;;
veh96;truck;1.148.005.415.276.750;1;345;1778;1433;1433.0;FALSE;;;
veh106;truck;11.274.853.487.246.500;13;379;1756;1377;10.592.307.692.307.600;FALSE;;;
veh121;truck;11.688.888.143.018.900;14;435;1909;1474;10.528.571.428.571.400;FALSE;;;
veh126;truck;11.121.272.456.516.000;20;452;1969;1517;75.85;FALSE;;;
veh139;truck;11.282.856.020.903.400;1;517;2071;1554;1554.0;FALSE;;;
veh196;truck;1.161.110.841.920.560;15;717;2228;1511;10.073.333.333.333.300;FALSE;;;
veh206;truck;11.952.934.015.116.700;9;747;2265;1518;16.866.666.666.666.600;FALSE;;;
veh222;truck;11.474.944.477.551.100;8;817;2175;1358;169.75;FALSE;;;
veh231;truck;11.494.872.249.690.900;19;843;2293;1450;763.157.894.736.842;FALSE;;;
veh241;truck;11.594.083.210.270.700;4;888;2346;1458;364.5;FALSE;;;
veh267;truck;11.750.161.008.324.900;11;976;2466;1490;13.545.454.545.454.500;FALSE;;;
veh271;truck;11.904.889.225.645.200;1;980;2534;1554;1554.0;FALSE;;;
veh288;truck;12.160.730.614.292.800;1;1037;2645;1608;1608.0;FALSE;;;
veh295;truck;1.179.083.791.066.550;1;1068;2635;1567;1567.0;FALSE;;;
veh308;truck;12.052.289.587.742.800;18;1118;2650;1532;8.511.111.111.111.110;FALSE;;;
veh313;truck;1.209.088.742.479.250;1;1133;2652;1519;1519.0;FALSE;;;
veh326;truck;1.333.254.726.770.010;13;1190;2653;1463;11.253.846.153.846.100;FALSE;;;
veh327;truck;11.776.346.338.593.400;7;1193;2714;1521;21.728.571.428.571.400;FALSE;;;
veh337;truck;11.535.355.065.692.200;14;1208;2552;1344;96.0;FALSE;;;
veh351;truck;11.662.835.339.824.400;1;1247;2611;1364;1364.0;FALSE;;;
veh366;truck;11.566.010.555.638.500;17;1287;2746;1459;8.582.352.941.176.470;FALSE;;;
veh370;truck;11.932.841.949.943.200;8;1301;2668;1367;170.875;FALSE;;;
veh375;truck;11.798.216.642.158.100;15;1307;2774;1467;97.8;FALSE;;;
veh377;truck;9.596.920.910.939.330;16;1323;2536;1213;758.125;TRUE;;;
veh382;truck;11.741.251.905.257.700;18;1343;2826;1483;8.238.888.888.888.880;FALSE;;;
veh399;truck;8.119.217.363.470.490;8;1410;2490;1080;135.0;TRUE;;;
veh401;truck;815.038.323.176.082;12;1422;2554;1132;9.433.333.333.333.330;TRUE;;;
veh402;truck;8.272.119.695.966.810;8;1424;2665;1241;155.125;TRUE;;;
veh404;truck;79.935.826.846.306;8;1426;2586;1160;145.0;TRUE;;;
veh408;truck;8.709.721.407.939.420;15;1435;2648;1213;8.086.666.666.666.660;TRUE;;;
veh409;truck;845.945.870.870.092;10;1439;2576;1137;113.7;TRUE;;;
veh410;truck;8.484.963.417.042.070;1;1444;2609;1165;1165.0;TRUE;;;
veh412;truck;9.026.572.607.944.640;14;1452;2637;1185;8.464.285.714.285.710;TRUE;;;
veh416;truck;9.032.767.782.889.780;18;1489;2666;1177;6.538.888.888.888.880;TRUE;;;
veh418;truck;11.762.856.014.169.500;4;1502;2969;1467;366.75;FALSE;;;
veh427;truck;11.708.441.235.604.200;6;1534;3075;1541;2.568.333.333.333.330;FALSE;;;
veh430;truck;11.718.126.633.291.000;10;1541;3101;1560;156.0;FALSE;;;
veh435;truck;11.609.711.671.380.100;4;1565;3155;1590;397.5;FALSE;;;
veh445;truck;11.788.592.093.396.000;11;1610;3196;1586;1.441.818.181.818.180;FALSE;;;
veh456;truck;13.680.138.472.700.600;17;1643;3156;1513;89.0;FALSE;;;
veh458;truck;11.484.123.849.308.000;14;1653;3103;1450;10.357.142.857.142.800;FALSE;;;
veh463;truck;11.684.597.325.205.200;17;1658;3066;1408;8.282.352.941.176.470;FALSE;;;
veh491;truck;12.033.433.734.368.000;7;1770;3236;1466;20.942.857.142.857.100;FALSE;;;
veh492;truck;11.437.862.924.537.300;10;1775;3247;1472;147.2;FALSE;;;
veh502;truck;1.191.353.648.711.170;10;1817;3362;1545;154.5;FALSE;;;
veh555;truck;11.224.063.265.242.000;19;2027;3393;1366;7.189.473.684.210.520;FALSE;;;
veh607;truck;10.850.579.779.964.700;16;2240;3682;1442;90.125;FALSE;;;
veh612;truck;1.110.194.786.923.500;17;2246;3724;1478;8.694.117.647.058.820;FALSE;;;
veh620;truck;12.188.737.152.430.300;13;2266;3726;1460;1.123.076.923.076.920;FALSE;;;
veh644;truck;11.567.540.164.094.700;19;2368;3752;1384;7.284.210.526.315.780;FALSE;;;
veh647;truck;11.517.807.313.321.200;2;2396;3855;1459;729.5;FALSE;;;
veh676;truck;11.742.095.158.243.900;16;2512;3985;1473;920.625;FALSE;;;
veh703;truck;11.887.673.237.600.500;8;2614;4133;1519;189.875;FALSE;;;
veh726;truck;115.042.143.541.402;13;2682;4241;1559;11.992.307.692.307.600;FALSE;;;
veh753;truck;11.755.142.049.176.800;14;2771;4312;1541;11.007.142.857.142.800;FALSE;;;
veh778;truck;11.715.815.893.320.300;6;2841;4375;1534;25.566.666.666.666.600;FALSE;;;
veh786;truck;11.822.447.834.365.400;12;2874;4314;1440;120.0;FALSE;;;
veh787;truck;11.669.616.168.363.100;18;2877;4326;1449;80.5;FALSE;;;
veh796;truck;11.437.984.975.598.900;12;2914;4361;1447;12.058.333.333.333.300;FALSE;;;
veh802;truck;8.920.079.413.462.460;3;2936;4143;1207;4.023.333.333.333.330;TRUE;;;
veh813;truck;11.613.084.564.047.500;15;2962;4471;1509;100.6;FALSE;;;
veh814;truck;8.818.869.698.497.450;17;2967;4137;1170;6.882.352.941.176.470;TRUE;;;
veh832;truck;835.956.437.289.023;4;3011;4215;1204;301.0;TRUE;;;
veh848;truck;8.855.590.895.650.460;6;3050;4248;1198;19.966.666.666.666.600;TRUE;;;
veh856;truck;8.732.117.317.533.320;17;3082;4258;1176;6.917.647.058.823.520;TRUE;;;
veh887;truck;11.571.315.060.303.300;13;3190;4669;1479;11.376.923.076.923.000;FALSE;;;
veh933;truck;11.636.386.275.139.000;12;3298;4757;1459;12.158.333.333.333.300;FALSE;;;
veh944;truck;11.479.764.667.925.200;16;3341;4749;1408;88.0;FALSE;;;
veh947;truck;11.651.047.284.308.200;1;3355;4802;1447;1447.0;FALSE;;;
veh982;truck;11.649.334.008.375.600;16;3459;4925;1466;91.625;FALSE;;;
veh1002;truck;11.670.787.615.933.100;2;3517;4971;1454;727.0;FALSE;;;
veh1013;truck;118.526.959.708.533;10;3559;5054;1495;149.5;FALSE;;;
